"GenusGF","mean.T2.T1.","t.stat","p.param","p.perm","p..0.05","sign.T2.T1.","min","max","mean"
"Astrea",-0.0314931489832766,-2.07116553070993,0.0196630652821609,0.01,"*",-1,-1.1,0.95,-0.0262086513994911
"Coeloseris",-0.0472216715874569,-3.40752932196386,0.000379536551723056,0.01,"*",-1,-2.5,0.5,-0.0447201017811705
"Cyphastrea.Submassive",-0.128755621865535,-4.20682903335036,1.78187995159407e-05,0.01,"*",-1,-4,1,-0.191030534351145
"Isopora.Columnar.or.digitate",-0.0917259660440288,-2.162877227236,0.0157294145144129,0.01,"*",-1,-23,17.25,-0.183396946564886
"Millepora.Submassive",-0.0734161716627533,-1.92640349887647,0.0275699360611997,0.01,"*",-1,-13.65,5,-0.15941475826972
"Montipora.Encrusting",-0.173175679820523,-3.32920614962381,0.000498257453576618,0.01,"*",-1,-10.6,7,-0.450986005089059
"Porites.Encrusting",-0.0766275251083352,-2.21445222877912,0.0138309505014626,0.01,"*",-1,-11,5.5,-0.127067430025445
"Stylophora",-0.0879984166628997,-2.45318188342005,0.00740722192735501,0.01,"*",-1,-4.5,3,-0.142843511450382
"Favites.Submassive",-0.0547422612031723,-1.82700584339544,0.0344204287168759,0.02,"*",-1,-3,3.5,-0.0635496183206107
"Goniopora.Columnar.or.digitate",0.02425237493081,2.28610164990822,0.0115249772644553,0.02,"*",1,-0.5,3.4,0.0261450381679389
"Isopora.Branching",-0.0748431263223759,-2.19529811867154,0.0145114518056551,0.02,"*",-1,-21.15,6.75,-0.235114503816794
"Porites.Massive",0.0891017468817102,1.72431548400203,0.0429174480074812,0.02,"*",1,-18.95,21,0.271055979643766
"Coral.Encrusting",0.0612513492777296,1.77609620348789,0.0384410268429377,0.03,"*",1,-4.5,3.2,0.0631361323155216
"Coral.massive",0.041959917792254,2.0405308847046,0.0211519082296905,0.03,"*",1,-2,1.45,0.0267811704834606
"Echinopora.branching",-0.0329376458728216,-2.01808668442438,0.0223026430527857,0.03,"*",-1,-2.5,1,-0.0438931297709924
"Leptastrea.Submassive",-0.0320875116402863,-1.54016269436476,0.0623660927021893,0.03,"*",-1,-2.5,1.5,-0.04529262086514
"Tubipora",0.0205424875622304,1.92473471758044,0.0276747342591681,0.03,"*",1,-0.5,1.55,0.0225190839694656
